ID,Title,Author,short_cite,exp_num,part_group,part_num,paper_age_y,paper_age_mo,paper_age_units,mean_age_months,Informative_syntax,animate_syntax,common_proper,count_mass,matching category,alternative category1,alternative category2,alternative category3,similarity_to_target,Exemp1_animate,solid ,exemp_sight,exemp_label_repeat,Dimensionality,Vocabulary,shape_vocab,Exposure,training_type,training_trials,country,language,Response mode,test trials,task type,test_obj_num,child_type1,monolingual,deformation_level,context,complexity,additional notes,mean,mean_proportion,SE,SD,t,df,F,r,d,d_var,d_se,extraction
1,The origins of the shape bias: Evidence from the Tsimane'.,"Jara-Ettinger J, Levy R, Sakel J, Huanca T, Gibson E.",Jara-Ettinger et al 2022,1,1,30,5.64,,years,67.68,informative,inanimate,common,count,,material,color,,,inanimate,solid ,,,3D,,,test only,,,us,english,pointing,1,forced choice,3,TL,monolingual,,,,,,,,,,,,,0.32,0.04,0.00,graph
1,The origins of the shape bias: Evidence from the Tsimane'.,"Jara-Ettinger J, Levy R, Sakel J, Huanca T, Gibson E.",Jara-Ettinger et al 2022,2,1,37,5.65,,years,67.8,informative,inanimate,common,count,,material,color,,,inanimate,solid ,,,3D,,,test only,,,Tsimane',tsimane,pointing,1,forced choice,3,TL,monolingual,,,,,,,,,,,,,0.03,0.03,0.00,graph
1,The origins of the shape bias: Evidence from the Tsimane'.,"Jara-Ettinger J, Levy R, Sakel J, Huanca T, Gibson E.",Jara-Ettinger et al 2022,3,1,42,6.66,,years,79.92,informative,inanimate,common,count,,material,color,distractor,,inanimate,solid ,,,3D,,,test only,,,Tsimane',tsimane,pointing,1,forced choice,3,TL,monolingual,,,,,,,,,,,,,-0.02,0.02,0.00,graph
1,The origins of the shape bias: Evidence from the Tsimane'.,"Jara-Ettinger J, Levy R, Sakel J, Huanca T, Gibson E.",Jara-Ettinger et al 2022,4,1,30,5.65,,years,67.8,informative,inanimate,common,count,,material,color,distractor,,inanimate,solid ,,,3D,,,test only,,,Tsimane',tsimane,pointing,1,forced choice,3,TL,monolingual,,,,,,,,,,,,,0.04,0.03,0.00,graph
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,1,48,3.6,,years,42,informative,inanimate,common,,,material,,,,inanimate,solid ,yes,,3D,,,test only,,,us,chinese,verbal,36,yes/no,1?,TL,monolingual,,,,,,,,,,,,,0.33,0.02,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,2,48,4.7,,years,55,informative,inanimate,common,,,material,,,,inanimate,solid ,yes,,3D,,,test only,,,us,chinese,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,,-0.84,0.03,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,1,48,3.6,,years,42,informative,inanimate,common,,,material,,,,inanimate,substance,yes,,3D,,,test only,,,us,chinese,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,,1.58,0.05,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,2,48,4.7y,,years,55,informative,inanimate,common,,,material,,,,inanimate,substance,yes,,3D,,,test only,,,us,chinese,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,,-1.32,0.04,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,3,48,3.8y,,years,44,informative,,common,count,,material,,,,inanimate,solid,yes,,3D,,,test only,,,us,english,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,,1.54,0.05,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,4,48,4.6y,,years,54,informative,,common,count,,material,,,,inanimate,solid,yes,,3D,,,test only,,,us,english,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,,1.77,0.05,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,3,48,3.8y,,years,44,informative,,common,count,,material,,,,inanimate,substance,yes,,3D,,,test only,,,us,english,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,,0.85,0.03,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,4,48,4.6y,,years,54,informative,,common,count,,material,,,,inanimate,substance,yes,,3D,,,test only,,,us,english,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,,0.29,0.02,0.00,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,1,1,12,3.5y,,years,41,informative,,common,count,,material,,,,inanimate,solid,yes,,3D,,,no_function,,,us,english,verbal,9,yes/no,1,TL,monolingual,,,,,,,,,,,,,1.54,0.18,0.02,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,1,2,12,5.4y,,years,64,informative,,common,count,,material,,,,inanimate,solid,yes,,3D,,,no_function,,,us,english,verbal,9,yes/no,1,TL,monolingual,,,,,,,,,,,,,0.76,0.11,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,1,1,12,3.5y,,years,41,informative,,common,count,,material,,,,inanimate,solid,yes,,3D,,,function,,,us,english,verbal,9,yes/no,1,TL,monolingual,,,,,,,,,,,,,0.61,0.10,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,1,2,12,5.4y,,years,64,informative,,common,count,,material,,,,inanimate,solid,yes,,3D,,,function,,,us,english,verbal,9,yes/no,1,TL,monolingual,,,,,,,,,,,,,0.06,0.08,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,2,1,12,2.6y,,years,30,informative,,common,count,,function,,,,inanimate,solid,yes,,3D,,,no_function,,,us,english,verbal,9,yes/no,,TL,monolingual,,,,,,,,,,,,,0.33,0.09,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,2,2,12,3.7y,,years,43,informative,,common,count,,function,,,,inanimate,solid,yes,,3D,,,no_function,,,us,english,verbal,9,yes/no,,TL,monolingual,,,,,,,,,,,,,0.36,0.09,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,2,3,12,5.5y,,years,65,informative,,common,count,,function,,,,inanimate,solid,yes,,3D,,,no_function,,,us,english,verbal,9,yes/no,,TL,monolingual,,,,,,,,,,,,,0.31,0.09,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,2,1,12,2.6y,,years,30,informative,,common,count,,function,,,,inanimate,solid,yes,,3D,,,function,,,us,english,verbal,9,yes/no,,TL,monolingual,,,,,,,,,,,,,0.36,0.09,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,2,2,12,3.7y,,years,43,informative,,common,count,,function,,,,inanimate,solid,yes,,3D,,,function,,,us,english,verbal,9,yes/no,,TL,monolingual,,,,,,,,,,,,,0.49,0.09,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,2,3,12,5.5y,,years,65,informative,,common,count,,function,,,,inanimate,solid,yes,,3D,,,function,,,us,english,verbal,9,yes/no,,TL,monolingual,,,,,,,,,,,,,-0.19,0.08,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,3,1,12,2.6y,,years,30,informative,,common,count,,,,,,,,,,3D,,,,,,us,english,verbal,,yes/no,,TL,monolingual,,,,,,,,,,,,,0.30,0.09,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,3,2,11,3.4y,,years,40,informative,,common,count,,,,,,,,,,3D,,,,,,us,english,verbal,,yes/no,,TL,monolingual,,,,,,,,,,,,,1.02,0.14,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1988,3,3,11,5.3y,,years,63,informative,,common,count,,,,,,,,,,3D,,,,,,us,english,verbal,,yes/no,,TL,monolingual,,,,,,,,,,,,,0.38,0.10,0.01,table
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2m,,months,33.2,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,looking,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,-0.05,0.07,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2 m+ 4m,,months,37.2,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,looking,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,0.36,0.08,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2 + 8,,months,41.2,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,looking,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,0.12,0.07,0.00,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2 + 12,,months,45.2,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,looking,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,-0.10,0.07,0.00,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5m,,months,20.5,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,looking,,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.12,0.07,0.00,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5 + 4,,months,24.5,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,looking,,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.65,0.08,0.01,graph
