ID,Title,Author,exp_num,part_group,part_num,paper_age,mean_age_months,Informative_syntax,animate_syntax,common_proper,count_mass,alternative category1,alternative category2,alternative category3,Exemp1_animate,Exemp1_solid,Exemp2_animate,Exemp2_solid,exemp_sight,exemp_label_repeat,Dimensionality,Vocabulary,shape_vocab,Exposure,training_type,training_trials,country,language,Response mode,test trials,task type,test_obj_num,child_type1,monolingual,deformation_level,context,complexity,additional notes,mean,mean_proportion,SD,t,df,F,r,d,d_var,extraction
1,The origins of the shape bias: Evidence from the Tsimane'.,,1,1,30,5.64y,67.68,informative,inanimate,common,count,material,color,,inanimate,solid,in,,,,3D,,,test only,,,us,english,pointing,1,forced choice,3,TL,monolingual,,,,,,,,,,,,-0.3529827098,0.03540994656,graph
1,The origins of the shape bias: Evidence from the Tsimane'.,,2,1,37,5.65y,67.8,informative,inanimate,common,count,material,color,,inanimate,solid,,,,,3D,,,test only,,,Tsimane',tsimane,pointing,1,forced choice,3,TL,monolingual,,,,,,,,,,,,-0.9359576968,0.03886509203,graph
1,The origins of the shape bias: Evidence from the Tsimane'.,,3,1,42,6.66y,79.92,informative,inanimate,common,count,material,color,distractor,inanimate,solid,,,,,3D,,,test only,,,Tsimane',tsimane,pointing,1,forced choice,3,TL,monolingual,,,,,,,,,,,,-0.9533527697,0.03462954171,graph
1,The origins of the shape bias: Evidence from the Tsimane'.,,4,1,30,5.65y,67.8,informative,inanimate,common,count,material,color,distractor,inanimate,solid,,,,,3D,,,test only,,,Tsimane',tsimane,pointing,1,forced choice,3,TL,monolingual,,,,,,,,,,,,-0.631591375,0.03998179442,graph
125,A crosslinguistic study of children's noun learning: The case of object and substance words,,1,1,48,3.6y,42,informative,inanimate,common,,material,,,inanimate,solid,,,yes,,3D,,,test only,,,us,chinese,verbal,36,yes/no,1?,TL,monolingual,,,,,,,,,,,,0.3333333333,0.02199074074,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,,1,2,48,4.7y,55,informative,inanimate,common,,material,,,inanimate,solid,,,yes,,3D,,,test only,,,us,chinese,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,-0.8372093023,0.02813457725,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,,1,1,48,3.6y,42,informative,inanimate,common,,material,,,inanimate,substance,,,yes,,3D,,,test only,,,us,chinese,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,1.575757576,0.04669804102,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,,1,2,48,4.7y,55,informative,inanimate,common,,material,,,inanimate,substance,,,yes,,3D,,,test only,,,us,chinese,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,-1.324324324,0.03910244704,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,,1,3,48,3.8y,44,informative,,common,count,material,,,inanimate,solid,,,yes,,3D,,,test only,,,us,english,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,770,6176.0625,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,,1,4,48,4.6y,54,informative,,common,count,material,,,inanimate,solid,,,yes,,3D,,,test only,,,us,english,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,1.772727273,0.05356835399,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,,1,3,48,3.8y,44,informative,,common,count,material,,,inanimate,substance,,,yes,,3D,,,test only,,,us,english,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,0.8536585366,0.02842430101,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,,1,4,48,4.6y,54,informative,,common,count,material,,,inanimate,substance,,,yes,,3D,,,test only,,,us,english,verbal,36,yes/no,,TL,monolingual,,,,,,,,,,,,0.2894736842,0.02170619806,table
