ID,Title,Author,short_cite,exp_num,part_group,part_num,paper_age,paper_age_mo,paper_age_units,mean_age_months,Informative_syntax,animate_syntax,common_proper,count_mass,matching category,alternative category1,alternative category2,alternative category3,similarity_to_target,Exemp1_animate,solidity,solid ,exemp_sight,exemp_label_repeat,Dimensionality,Vocabulary,shape_vocab,Exposure,training_type,training_trials,country,language,Response mode,test trials,task type,test_obj_num,child_type1,monolingual,deformation_level,context,complexity,additional notes,mean,mean_proportion,SE,SD,t,df,F,r,d,d_var,d_se,extraction
1,The origins of the shape bias: Evidence from the Tsimane'.,"Jara-Ettinger J, Levy R, Sakel J, Huanca T, Gibson E.",Jara-Ettinger et al 2022,1,1,30,5.64,,years,67.68,informative,inanimate,common,count,,material,color,,,inanimate,solid,solid ,,,3D,,,test only,,,us,english,pointing,1,forced choice,3,TD,monolingual,,,,,,,,,,,,,0.29,0.03,0.00,graph
1,The origins of the shape bias: Evidence from the Tsimane'.,"Jara-Ettinger J, Levy R, Sakel J, Huanca T, Gibson E.",Jara-Ettinger et al 2022,2,1,37,5.65,,years,67.8,informative,inanimate,common,count,,material,color,,,inanimate,solid,solid ,,,3D,,,test only,,,Tsimane',tsimane,pointing,1,forced choice,3,TD,monolingual,,,,,,,,,,,,,-0.01,0.03,0.00,graph
1,The origins of the shape bias: Evidence from the Tsimane'.,"Jara-Ettinger J, Levy R, Sakel J, Huanca T, Gibson E.",Jara-Ettinger et al 2022,3,1,42,6.66,,years,79.92,informative,inanimate,common,count,,material,color,distractor,,inanimate,solid,solid ,,,3D,,,test only,,,Tsimane',tsimane,pointing,1,forced choice,3,TD,monolingual,,,,,,,,,,,,,-0.05,0.02,0.00,graph
1,The origins of the shape bias: Evidence from the Tsimane'.,"Jara-Ettinger J, Levy R, Sakel J, Huanca T, Gibson E.",Jara-Ettinger et al 2022,4,1,30,5.65,,years,67.8,informative,inanimate,common,count,,material,color,distractor,,inanimate,solid,solid ,,,3D,,,test only,,,Tsimane',tsimane,pointing,1,forced choice,3,TD,monolingual,,,,,,,,,,,,,0.00,0.03,0.00,graph
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,1,48,3.6,,years,42,informative,inanimate,common,count,,material,,,,inanimate,solid,solid ,yes,,3D,,,test only,,,us,chinese,verbal,36,yes/no,1?,TD,monolingual,,,,,,,,,,,,,0.30,0.02,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,2,48,4.7,,years,55,informative,inanimate,common,count,,material,,,,inanimate,solid,solid ,yes,,3D,,,test only,,,us,chinese,verbal,36,yes/no,,TD,monolingual,,,,,,,,,,,,,-0.81,0.03,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,1,48,3.6,,years,42,informative,inanimate,common,count,,material,,,,inanimate,substance,substance,yes,,3D,,,test only,,,us,chinese,verbal,36,yes/no,,TD,monolingual,,,,,,,,,,,,,1.34,0.04,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,2,48,4.7y,,years,55,informative,inanimate,common,count,,material,,,,inanimate,substance,substance,yes,,3D,,,test only,,,us,chinese,verbal,36,yes/no,,TD,monolingual,,,,,,,,,,,,,-1.36,0.04,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,3,48,3.8y,,years,44,informative,,common,count,,material,,,,inanimate,solid,solid,yes,,3D,,,test only,,,us,english,verbal,36,yes/no,,TD,monolingual,,,,,,,,,,,,,2.33,0.08,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,4,48,4.6y,,years,54,informative,,common,count,,material,,,,inanimate,solid,solid,yes,,3D,,,test only,,,us,english,verbal,36,yes/no,,TD,monolingual,,,,,,,,,,,,,1.08,0.03,0.00,table
